Category,Priority,time_resolution
big-data,Blocker,25023.0
big-data,Critical,29934.0
big-data,Major,48544.0
big-data,Minor,26101.0
big-data,Trivial,6124.0
build-management,Blocker,46429.0
build-management,Critical,7404.0
build-management,Major,23168.0
build-management,Minor,302941.0
build-management,Trivial,6068.0
cloud,Blocker,41187.0
cloud,Critical,10439.0
cloud,Major,75692.0
cloud,Minor,175508.0
cloud,Trivial,15075.0
database,Blocker,98872.0
database,Critical,10388.0
database,Low,15499.0
database,Major,29778.0
database,Minor,26737.0
database,Normal,24256.0
database,Trivial,37830.0
database,Urgent,5223.0
library,Blocker,1544.0
library,Critical,2371.0
library,Major,58300.0
library,Minor,201087.0
library,Trivial,7626.0
machine-learning,Blocker,18733.0
machine-learning,Critical,4870.0
machine-learning,Major,22423.0
machine-learning,Minor,115588.0
machine-learning,Trivial,552.0
network-server,Blocker,21696.0
network-server,Critical,25610.0
network-server,Major,49976.0
network-server,Minor,30003.0
network-server,Trivial,464.0
security,Blocker,3.0
security,Critical,1632.0
security,Major,3085.0
security,Minor,2086.0
security,Trivial,211.0
web-framework,Blocker,7162.0
web-framework,Critical,8182.0
web-framework,Major,113848.0
web-framework,Minor,88606.0
web-framework,Trivial,55736.0
