Category,Priority,N
big-data,Blocker,2224
big-data,Critical,2061
big-data,Urgent,0
big-data,Major,11849
big-data,Normal,0
big-data,Low,0
big-data,Minor,3509
big-data,Trivial,810
build-management,Blocker,41
build-management,Critical,52
build-management,Urgent,0
build-management,Major,792
build-management,Normal,0
build-management,Low,0
build-management,Minor,161
build-management,Trivial,18
cloud,Blocker,342
cloud,Critical,436
cloud,Urgent,0
cloud,Major,2458
cloud,Normal,0
cloud,Low,0
cloud,Minor,440
cloud,Trivial,62
database,Blocker,947
database,Critical,1421
database,Urgent,253
database,Major,12149
database,Normal,2218
database,Low,1800
database,Minor,2514
database,Trivial,643
library,Blocker,64
library,Critical,108
library,Urgent,0
library,Major,1766
library,Normal,0
library,Low,0
library,Minor,526
library,Trivial,106
machine-learning,Blocker,46
machine-learning,Critical,21
machine-learning,Urgent,0
machine-learning,Major,668
machine-learning,Normal,0
machine-learning,Low,0
machine-learning,Minor,216
machine-learning,Trivial,48
network-server,Blocker,22
network-server,Critical,78
network-server,Urgent,0
network-server,Major,2843
network-server,Normal,0
network-server,Low,0
network-server,Minor,963
network-server,Trivial,59
security,Blocker,3
security,Critical,18
security,Urgent,0
security,Major,667
security,Normal,0
security,Low,0
security,Minor,102
security,Trivial,14
web-framework,Blocker,189
web-framework,Critical,256
web-framework,Urgent,0
web-framework,Major,2772
web-framework,Normal,0
web-framework,Low,0
web-framework,Minor,1241
web-framework,Trivial,224
