has,prefers,count
Accepted,Closed,4
Accepted,In Progress,1752
Accepted,Open,5
Accepted,Resolved,188
Accepted,Reviewable,49
Awaiting Feedback,In Progress,12
Awaiting Feedback,Open,9
Awaiting Feedback,Patch Available,40
Awaiting Feedback,Ready to Commit,2
Awaiting Feedback,Resolved,17
Awaiting Feedback,Testing,1
Closed,Open,94
Closed,Reopened,1562
Closed,Resolved,25
In Progress,Accepted,32
In Progress,Awaiting Feedback,26
In Progress,Closed,721
In Progress,Open,942
In Progress,Patch Available,4649
In Progress,Ready To Review,33
In Progress,Resolved,7781
In Progress,Reviewable,1485
Open,Accepted,1598
Open,Awaiting Feedback,55
Open,Closed,5040
Open,In Progress,12161
Open,Open,35
Open,Patch Available,36112
Open,Reopened,5
Open,Resolved,29556
Patch Available,Closed,10
Patch Available,In Progress,1339
Patch Available,Open,10141
Patch Available,Patch Available,5
Patch Available,Ready to Commit,609
Patch Available,Reopened,2
Patch Available,Resolved,29688
Patch Available,Testing,48
Ready To Review,Resolved,32
Ready to Commit,In Progress,10
Ready to Commit,Open,24
Ready to Commit,Resolved,577
Reopened,Closed,658
Reopened,In Progress,294
Reopened,Open,7
Reopened,Patch Available,1033
Reopened,Reopened,31
Reopened,Resolved,3442
Resolved,Accepted,368
Resolved,Closed,31796
Resolved,Reopened,3863
Reviewable,In Progress,101
Reviewable,Resolved,1434
Testing,Open,23
Testing,Resolved,26
