,ResolutionDateDay,Key
0,2009-01-04,1
1,2009-01-05,1
2,2009-01-06,2
3,2009-01-09,1
4,2009-01-13,1
5,2009-01-14,2
6,2009-01-18,2
7,2009-01-19,1
8,2009-01-20,2
9,2009-01-21,1
10,2009-01-22,1
11,2009-01-23,2
12,2009-01-27,1
13,2009-01-30,1
14,2009-02-03,1
15,2009-02-04,1
16,2009-02-08,1
17,2009-02-10,1
18,2009-02-11,3
19,2009-02-18,1
20,2009-02-19,1
21,2009-02-20,1
22,2009-02-25,1
23,2009-02-27,5
24,2009-02-28,2
25,2009-03-02,1
26,2009-03-03,3
27,2009-03-04,2
28,2009-03-06,2
29,2009-03-08,1
30,2009-03-09,2
31,2009-03-10,1
32,2009-03-12,3
33,2009-03-17,1
34,2009-03-18,1
35,2009-03-23,1
36,2009-03-24,2
37,2009-03-26,2
38,2009-03-27,1
39,2009-03-29,1
40,2009-04-01,2
41,2009-04-02,2
42,2009-04-03,1
43,2009-04-06,1
44,2009-04-08,1
45,2009-04-09,1
46,2009-04-10,1
47,2009-04-15,1
48,2009-04-16,2
49,2009-04-17,1
50,2009-04-18,1
51,2009-04-19,1
52,2009-04-21,1
53,2009-04-23,2
54,2009-04-24,1
55,2009-04-28,1
56,2009-04-29,1
57,2009-04-30,1
58,2009-05-03,1
59,2009-05-04,1
60,2009-05-06,2
61,2009-05-07,1
62,2009-05-12,1
63,2009-05-13,1
64,2009-05-14,1
65,2009-05-16,3
66,2009-05-18,1
67,2009-05-19,4
68,2009-05-24,1
69,2009-05-25,2
70,2009-05-28,2
71,2009-06-03,1
72,2009-06-05,2
73,2009-06-07,1
74,2009-06-08,2
75,2009-06-11,3
76,2009-06-12,1
77,2009-06-16,2
78,2009-06-17,1
79,2009-06-18,5
80,2009-06-23,4
81,2009-06-24,4
82,2009-06-25,1
83,2009-06-26,1
84,2009-06-27,1
85,2009-06-30,2
86,2009-07-01,2
87,2009-07-02,2
88,2009-07-03,4
89,2009-07-05,1
90,2009-07-06,1
91,2009-07-09,1
92,2009-07-12,2
93,2009-07-15,1
94,2009-07-16,2
95,2009-07-18,1
96,2009-07-19,1
97,2009-07-23,1
98,2009-07-24,1
99,2009-07-26,2
100,2009-07-29,2
101,2009-07-30,3
102,2009-08-03,2
103,2009-08-05,2
104,2009-08-06,2
105,2009-08-07,1
106,2009-08-12,1
107,2009-08-23,2
108,2009-08-24,3
109,2009-08-25,1
110,2009-08-26,2
111,2009-08-27,1
112,2009-08-28,1
113,2009-08-29,2
114,2009-08-31,1
115,2009-09-02,1
116,2009-09-07,2
117,2009-09-09,2
118,2009-09-10,1
119,2009-09-11,1
120,2009-09-13,1
121,2009-09-14,2
122,2009-09-15,1
123,2009-09-16,1
124,2009-09-17,1
125,2009-09-18,2
126,2009-09-20,1
127,2009-09-21,3
128,2009-09-22,1
129,2009-09-29,1
130,2009-10-08,1
131,2009-10-09,1
132,2009-10-12,2
133,2009-10-13,1
134,2009-10-16,4
135,2009-10-18,1
136,2009-10-19,2
137,2009-10-20,1
138,2009-10-21,3
139,2009-10-22,2
140,2009-10-23,1
141,2009-10-25,1
142,2009-10-26,1
143,2009-10-27,3
144,2009-10-29,1
145,2009-11-01,1
146,2009-11-04,3
147,2009-11-06,3
148,2009-11-10,2
149,2009-11-11,2
150,2009-11-12,2
151,2009-11-16,4
152,2009-11-17,2
153,2009-11-18,3
154,2009-11-19,1
155,2009-11-20,1
156,2009-11-21,3
157,2009-11-24,4
158,2009-11-25,2
159,2009-11-26,2
160,2009-11-27,1
161,2009-11-30,1
162,2009-12-01,2
163,2009-12-03,3
164,2009-12-04,3
165,2009-12-09,1
166,2009-12-10,2
167,2009-12-14,2
168,2009-12-18,1
169,2009-12-20,1
170,2009-12-24,2
171,2009-12-25,1
172,2009-12-29,1
173,2009-12-30,1
174,2010-01-02,1
175,2010-01-03,1
176,2010-01-05,2
177,2010-01-08,2
178,2010-01-13,2
179,2010-01-14,1
180,2010-01-15,2
181,2010-01-19,2
182,2010-01-20,1
183,2010-01-21,1
184,2010-01-24,1
185,2010-01-25,1
186,2010-01-26,1
187,2010-01-29,4
188,2010-01-31,1
189,2010-02-01,1
190,2010-02-02,2
191,2010-02-03,1
192,2010-02-04,4
193,2010-02-05,1
194,2010-02-09,1
195,2010-02-11,1
196,2010-02-12,1
197,2010-02-16,1
198,2010-02-17,3
199,2010-02-19,1
200,2010-02-22,1
201,2010-02-23,1
202,2010-03-01,1
203,2010-03-02,1
204,2010-03-03,1
205,2010-03-08,1
206,2010-03-10,2
207,2010-03-12,1
208,2010-03-16,1
209,2010-03-18,1
210,2010-03-19,2
211,2010-03-21,1
212,2010-03-22,2
213,2010-03-24,1
214,2010-03-29,2
215,2010-04-06,1
216,2010-04-07,2
217,2010-04-11,1
218,2010-04-12,1
219,2010-04-13,1
220,2010-04-14,1
221,2010-04-15,1
222,2010-04-17,2
223,2010-04-21,2
224,2010-04-22,1
225,2010-04-26,1
226,2010-04-28,1
227,2010-04-29,1
228,2010-05-06,3
229,2010-05-07,2
230,2010-05-11,1
231,2010-05-12,2
232,2010-05-14,1
233,2010-05-15,3
234,2010-05-19,1
235,2010-05-20,1
236,2010-05-21,6
237,2010-05-24,1
238,2010-05-26,2
239,2010-05-27,3
240,2010-05-28,2
241,2010-06-02,2
242,2010-06-07,3
243,2010-06-09,2
244,2010-06-10,1
245,2010-06-11,1
246,2010-06-12,1
247,2010-06-14,1
248,2010-06-15,2
249,2010-06-16,4
250,2010-06-17,1
251,2010-06-18,1
252,2010-06-22,1
253,2010-06-23,1
254,2010-06-25,1
255,2010-06-28,1
256,2010-06-29,1
257,2010-06-30,2
258,2010-07-01,2
259,2010-07-02,3
260,2010-07-03,1
261,2010-07-06,3
262,2010-07-08,2
263,2010-07-10,1
264,2010-07-11,1
265,2010-07-13,1
266,2010-07-14,4
267,2010-07-15,1
268,2010-07-17,2
269,2010-07-19,2
270,2010-07-20,1
271,2010-07-22,2
272,2010-07-26,2
273,2010-07-27,2
274,2010-07-29,3
275,2010-07-30,2
276,2010-08-02,1
277,2010-08-03,1
278,2010-08-04,1
279,2010-08-05,1
280,2010-08-07,1
281,2010-08-09,1
282,2010-08-11,3
283,2010-08-12,2
284,2010-08-13,1
285,2010-08-19,2
286,2010-08-23,1
287,2010-08-25,3
288,2010-08-26,3
289,2010-08-31,2
290,2010-09-02,1
291,2010-09-06,1
292,2010-09-10,1
293,2010-09-13,1
294,2010-09-14,3
295,2010-09-16,2
296,2010-09-17,1
297,2010-09-19,2
298,2010-09-20,1
299,2010-09-21,1
300,2010-09-22,3
301,2010-09-26,1
302,2010-09-28,1
303,2010-09-29,1
304,2010-09-30,1
305,2010-10-01,2
306,2010-10-02,2
307,2010-10-03,1
308,2010-10-05,1
309,2010-10-06,1
310,2010-10-07,3
311,2010-10-11,1
312,2010-10-12,2
313,2010-10-14,3
314,2010-10-15,1
315,2010-10-20,1
316,2010-10-21,2
317,2010-10-26,2
318,2010-10-27,1
319,2010-10-29,1
320,2010-11-01,1
321,2010-11-03,2
322,2010-11-04,1
323,2010-11-05,2
324,2010-11-08,2
325,2010-11-09,1
326,2010-11-11,2
327,2010-11-12,2
328,2010-11-13,1
329,2010-11-18,4
330,2010-11-19,1
331,2010-11-22,1
332,2010-11-23,1
333,2010-11-24,2
334,2010-11-28,1
335,2010-11-29,1
336,2010-12-05,2
337,2010-12-06,3
338,2010-12-07,3
339,2010-12-08,3
340,2010-12-09,1
341,2010-12-15,4
342,2010-12-17,1
343,2010-12-19,1
344,2010-12-20,2
345,2010-12-23,1
346,2010-12-27,1
347,2011-01-03,1
348,2011-01-04,3
349,2011-01-05,2
350,2011-01-06,3
351,2011-01-08,1
352,2011-01-11,2
353,2011-01-12,1
354,2011-01-13,2
355,2011-01-14,1
356,2011-01-15,2
357,2011-01-18,1
358,2011-01-19,1
359,2011-01-21,2
360,2011-01-24,1
361,2011-01-28,1
362,2011-01-30,1
363,2011-02-02,2
364,2011-02-03,1
365,2011-02-04,1
366,2011-02-05,1
367,2011-02-07,1
368,2011-02-08,1
369,2011-02-09,1
370,2011-02-11,1
371,2011-02-14,1
372,2011-02-15,1
373,2011-02-16,1
374,2011-02-17,1
375,2011-02-19,1
376,2011-02-21,2
377,2011-02-24,5
378,2011-02-25,1
379,2011-02-26,1
380,2011-02-28,2
381,2011-03-01,1
382,2011-03-04,1
383,2011-03-05,2
384,2011-03-06,1
385,2011-03-09,1
386,2011-03-21,1
387,2011-03-22,1
388,2011-03-25,3
389,2011-03-27,1
390,2011-03-28,2
391,2011-03-29,1
392,2011-03-30,2
393,2011-04-01,1
394,2011-04-05,1
395,2011-04-08,2
396,2011-04-09,1
397,2011-04-11,2
398,2011-04-12,1
399,2011-04-13,1
400,2011-04-14,1
401,2011-04-15,1
402,2011-04-16,2
403,2011-04-17,3
404,2011-04-20,3
405,2011-04-24,1
406,2011-04-26,1
407,2011-04-29,5
408,2011-04-30,1
409,2011-05-02,2
410,2011-05-03,1
411,2011-05-04,1
412,2011-05-08,1
413,2011-05-09,2
414,2011-05-12,3
415,2011-05-17,1
416,2011-05-18,1
417,2011-05-26,1
418,2011-05-27,1
419,2011-05-29,2
420,2011-05-30,2
421,2011-06-04,1
422,2011-06-07,3
423,2011-06-08,1
424,2011-06-09,2
425,2011-06-10,4
426,2011-06-11,2
427,2011-06-12,1
428,2011-06-13,1
429,2011-06-15,1
430,2011-06-16,1
431,2011-06-20,1
432,2011-06-22,2
433,2011-06-24,1
434,2011-06-26,1
435,2011-06-27,1
436,2011-06-30,1
