,ResolutionDateDay,Key
0,2009-01-10,1
1,2009-01-11,1
2,2009-01-14,2
3,2009-01-16,2
4,2009-01-18,2
5,2009-01-19,1
6,2009-01-20,2
7,2009-01-23,2
8,2009-01-24,1
9,2009-01-31,2
10,2009-02-03,1
11,2009-02-05,1
12,2009-02-08,3
13,2009-02-26,1
14,2009-03-03,1
15,2009-03-05,1
16,2009-03-06,5
17,2009-03-07,1
18,2009-03-13,1
19,2009-03-14,1
20,2009-03-19,3
21,2009-03-20,3
22,2009-03-23,1
23,2009-03-25,1
24,2009-03-26,1
25,2009-03-27,1
26,2009-03-28,1
27,2009-03-30,1
28,2009-04-02,1
29,2009-04-03,1
30,2009-04-05,1
31,2009-04-07,1
32,2009-04-10,1
33,2009-04-13,2
34,2009-04-20,1
35,2009-04-21,2
36,2009-04-22,1
37,2009-04-23,4
38,2009-04-24,1
39,2009-04-28,2
40,2009-04-29,2
41,2009-04-30,1
42,2009-05-01,1
43,2009-05-02,1
44,2009-05-03,2
45,2009-05-04,1
46,2009-05-05,2
47,2009-05-06,3
48,2009-05-07,1
49,2009-05-08,1
50,2009-05-09,5
51,2009-05-11,1
52,2009-05-12,1
53,2009-05-13,3
54,2009-05-14,1
55,2009-05-16,1
56,2009-05-18,5
57,2009-05-19,3
58,2009-05-20,2
59,2009-05-21,5
60,2009-05-30,1
61,2009-05-31,2
62,2009-06-01,1
63,2009-06-02,1
64,2009-06-03,1
65,2009-06-04,2
66,2009-06-05,1
67,2009-06-08,3
68,2009-06-09,1
69,2009-06-14,1
70,2009-06-15,6
71,2009-06-16,4
72,2009-06-17,1
73,2009-06-18,1
74,2009-06-19,7
75,2009-06-22,3
76,2009-06-23,3
77,2009-06-24,3
78,2009-06-25,4
79,2009-06-26,3
80,2009-06-28,1
81,2009-06-29,1
82,2009-06-30,4
83,2009-07-02,2
84,2009-07-03,5
85,2009-07-07,4
86,2009-07-08,1
87,2009-07-09,3
88,2009-07-10,7
89,2009-07-12,1
90,2009-07-13,1
91,2009-07-14,4
92,2009-07-15,2
93,2009-07-16,3
94,2009-07-17,1
95,2009-07-18,1
96,2009-07-20,1
97,2009-07-21,1
98,2009-07-23,3
99,2009-07-24,1
100,2009-07-25,3
101,2009-07-26,1
102,2009-07-27,5
103,2009-07-28,4
104,2009-07-29,3
105,2009-08-02,3
106,2009-08-03,1
107,2009-08-04,2
108,2009-08-10,1
109,2009-08-17,4
110,2009-08-18,3
111,2009-08-25,2
112,2009-08-26,2
113,2009-08-27,3
114,2009-09-01,1
115,2009-09-02,4
116,2009-09-04,2
117,2009-09-10,1
118,2009-09-11,5
119,2009-09-12,1
120,2009-09-14,2
121,2009-09-15,4
122,2009-09-17,3
123,2009-09-19,1
124,2009-09-22,3
125,2009-09-23,3
126,2009-09-24,2
127,2009-09-25,2
128,2009-09-26,2
129,2009-10-03,2
130,2009-10-05,2
131,2009-10-06,1
132,2009-10-07,1
133,2009-10-13,1
134,2009-10-14,2
135,2009-10-15,1
136,2009-10-17,1
137,2009-10-18,1
138,2009-10-20,2
139,2009-10-21,2
140,2009-10-22,3
141,2009-10-23,1
142,2009-10-26,1
143,2009-10-29,1
144,2009-10-30,2
145,2009-11-03,2
146,2009-11-04,2
147,2009-11-05,1
148,2009-11-06,1
149,2009-11-07,1
150,2009-11-10,1
151,2009-11-13,2
152,2009-11-22,2
153,2009-11-23,1
154,2009-11-24,1
155,2009-12-04,2
156,2009-12-07,1
157,2009-12-08,2
158,2009-12-11,2
159,2009-12-14,1
160,2009-12-15,3
161,2009-12-16,1
162,2009-12-17,2
163,2009-12-18,1
164,2009-12-20,1
165,2009-12-28,3
166,2009-12-30,1
167,2009-12-31,2
168,2010-01-04,1
169,2010-01-05,1
170,2010-01-07,1
171,2010-01-08,1
172,2010-01-12,3
173,2010-01-13,2
174,2010-01-14,4
175,2010-01-15,3
176,2010-01-17,4
177,2010-01-20,1
178,2010-01-21,2
179,2010-01-22,7
180,2010-01-23,1
181,2010-02-05,1
182,2010-02-12,2
183,2010-02-13,2
184,2010-02-14,1
185,2010-02-19,1
186,2010-02-23,1
187,2010-02-24,1
188,2010-02-25,3
189,2010-02-28,1
190,2010-03-04,3
191,2010-03-06,1
192,2010-03-09,1
193,2010-03-10,2
194,2010-03-11,1
195,2010-03-12,1
196,2010-03-15,2
197,2010-03-16,1
198,2010-03-17,1
199,2010-03-20,3
200,2010-03-22,4
201,2010-03-24,1
202,2010-03-28,1
203,2010-03-30,4
204,2010-04-01,4
205,2010-04-02,1
206,2010-04-05,2
207,2010-04-08,2
208,2010-04-09,2
209,2010-04-13,1
210,2010-04-14,2
211,2010-04-15,1
212,2010-04-16,1
213,2010-04-17,3
214,2010-04-18,1
215,2010-04-20,2
216,2010-04-21,1
217,2010-04-24,2
218,2010-04-26,2
219,2010-04-27,2
220,2010-04-28,1
221,2010-04-29,1
222,2010-04-30,1
223,2010-05-03,1
224,2010-05-04,1
225,2010-05-05,1
226,2010-05-07,1
227,2010-05-11,1
228,2010-05-12,1
229,2010-05-13,1
230,2010-05-14,1
231,2010-05-17,1
232,2010-05-18,3
233,2010-05-19,4
234,2010-05-20,4
235,2010-05-21,1
236,2010-05-23,1
237,2010-05-24,3
238,2010-05-26,2
239,2010-05-27,2
240,2010-05-28,1
241,2010-05-29,1
242,2010-05-30,1
243,2010-06-01,4
244,2010-06-02,3
245,2010-06-03,2
246,2010-06-04,3
247,2010-06-05,1
248,2010-06-06,2
249,2010-06-08,2
250,2010-06-09,1
251,2010-06-10,1
252,2010-06-11,2
253,2010-06-13,1
254,2010-06-15,4
255,2010-06-16,2
256,2010-06-17,1
257,2010-06-18,1
258,2010-06-19,1
259,2010-06-20,1
260,2010-06-21,1
261,2010-06-22,6
262,2010-06-23,5
263,2010-06-24,4
264,2010-06-26,1
265,2010-07-05,1
266,2010-07-13,2
267,2010-07-14,1
268,2010-07-16,4
269,2010-07-17,2
270,2010-07-18,1
271,2010-07-19,1
272,2010-07-20,2
273,2010-07-22,2
274,2010-07-23,1
275,2010-07-24,2
276,2010-07-25,2
277,2010-07-27,2
278,2010-07-28,1
279,2010-07-30,4
280,2010-08-04,1
281,2010-08-05,1
282,2010-08-09,1
283,2010-08-11,1
284,2010-08-13,1
285,2010-08-16,1
286,2010-08-17,1
287,2010-08-18,2
288,2010-08-19,1
289,2010-08-22,1
290,2010-08-23,1
291,2010-08-25,3
292,2010-09-01,3
293,2010-09-02,2
294,2010-09-03,1
295,2010-09-06,1
296,2010-09-07,1
297,2010-09-08,6
298,2010-09-09,2
299,2010-09-10,3
300,2010-09-12,1
301,2010-09-15,4
302,2010-09-16,1
303,2010-09-17,1
304,2010-09-18,1
305,2010-09-20,2
306,2010-09-21,1
307,2010-09-22,2
308,2010-09-24,3
309,2010-09-25,2
310,2010-09-27,5
311,2010-09-28,1
312,2010-09-30,5
313,2010-10-01,4
314,2010-10-04,1
315,2010-10-06,4
316,2010-10-09,1
317,2010-10-10,5
318,2010-10-11,1
319,2010-10-12,2
320,2010-10-15,5
321,2010-10-16,5
322,2010-10-18,3
323,2010-10-19,4
324,2010-10-20,1
325,2010-10-21,2
326,2010-10-22,4
327,2010-10-23,2
328,2010-10-24,1
329,2010-10-26,1
330,2010-10-27,3
331,2010-10-28,2
332,2010-10-29,2
333,2010-10-30,3
334,2010-11-01,2
335,2010-11-02,4
336,2010-11-03,3
337,2010-11-04,2
338,2010-11-05,5
339,2010-11-06,1
340,2010-11-08,1
341,2010-11-09,6
342,2010-11-10,3
343,2010-11-11,6
344,2010-11-12,1
345,2010-11-13,1
346,2010-11-15,1
347,2010-11-16,1
348,2010-11-18,2
349,2010-11-19,2
350,2010-11-20,2
351,2010-11-23,6
352,2010-11-24,4
353,2010-11-29,6
354,2010-11-30,1
355,2010-12-01,4
356,2010-12-02,5
357,2010-12-03,2
358,2010-12-04,1
359,2010-12-05,1
360,2010-12-06,2
361,2010-12-07,5
362,2010-12-10,1
363,2010-12-13,2
364,2010-12-14,8
365,2010-12-15,3
366,2010-12-16,1
367,2010-12-17,1
368,2010-12-18,4
369,2010-12-20,1
370,2010-12-21,1
371,2010-12-22,4
372,2010-12-29,1
373,2011-01-04,2
374,2011-01-05,6
375,2011-01-06,2
376,2011-01-07,2
377,2011-01-17,1
378,2011-01-20,2
379,2011-01-21,1
380,2011-01-27,1
381,2011-01-31,1
382,2011-02-01,1
383,2011-02-02,1
384,2011-02-03,3
385,2011-02-04,2
386,2011-02-08,2
387,2011-02-09,1
388,2011-02-12,1
389,2011-02-14,1
390,2011-02-15,1
