,Data,Key
0,2009-01-02,1
1,2009-01-09,2
2,2009-01-10,2
3,2009-01-11,1
4,2009-01-13,2
5,2009-01-15,2
6,2009-01-18,2
7,2009-01-19,3
8,2009-01-20,1
9,2009-01-21,1
10,2009-01-23,1
11,2009-01-27,1
12,2009-01-28,1
13,2009-01-31,3
14,2009-02-02,1
15,2009-02-03,1
16,2009-02-05,1
17,2009-02-06,1
18,2009-02-08,2
19,2009-02-17,1
20,2009-02-20,1
21,2009-02-23,2
22,2009-03-02,1
23,2009-03-04,2
24,2009-03-06,3
25,2009-03-10,1
26,2009-03-11,1
27,2009-03-12,1
28,2009-03-16,1
29,2009-03-19,3
30,2009-03-20,6
31,2009-03-23,1
32,2009-03-25,2
33,2009-03-27,2
34,2009-03-30,2
35,2009-03-31,1
36,2009-04-01,1
37,2009-04-05,3
38,2009-04-10,1
39,2009-04-12,4
40,2009-04-13,1
41,2009-04-20,1
42,2009-04-21,3
43,2009-04-22,2
44,2009-04-23,2
45,2009-04-24,1
46,2009-04-28,1
47,2009-04-29,2
48,2009-04-30,1
49,2009-05-01,1
50,2009-05-03,1
51,2009-05-04,1
52,2009-05-05,2
53,2009-05-06,2
54,2009-05-07,2
55,2009-05-08,4
56,2009-05-09,4
57,2009-05-10,1
58,2009-05-13,3
59,2009-05-14,1
60,2009-05-16,1
61,2009-05-18,3
62,2009-05-19,3
63,2009-05-20,1
64,2009-05-28,1
65,2009-05-29,1
66,2009-05-31,2
67,2009-06-01,3
68,2009-06-04,2
69,2009-06-05,4
70,2009-06-06,1
71,2009-06-08,1
72,2009-06-09,2
73,2009-06-10,1
74,2009-06-13,1
75,2009-06-15,5
76,2009-06-16,1
77,2009-06-17,3
78,2009-06-18,2
79,2009-06-19,4
80,2009-06-20,1
81,2009-06-21,1
82,2009-06-22,5
83,2009-06-23,9
84,2009-06-24,2
85,2009-06-25,2
86,2009-06-30,3
87,2009-07-01,5
88,2009-07-02,3
89,2009-07-06,1
90,2009-07-07,3
91,2009-07-08,3
92,2009-07-09,2
93,2009-07-10,4
94,2009-07-11,2
95,2009-07-12,1
96,2009-07-14,4
97,2009-07-15,2
98,2009-07-16,2
99,2009-07-17,3
100,2009-07-18,1
101,2009-07-21,2
102,2009-07-22,2
103,2009-07-23,5
104,2009-07-24,2
105,2009-07-25,2
106,2009-07-26,1
107,2009-07-27,2
108,2009-07-28,3
109,2009-07-30,1
110,2009-08-01,1
111,2009-08-03,3
112,2009-08-04,3
113,2009-08-08,1
114,2009-08-10,1
115,2009-08-12,1
116,2009-08-14,2
117,2009-08-17,1
118,2009-08-18,2
119,2009-08-19,1
120,2009-08-20,2
121,2009-08-21,1
122,2009-08-24,1
123,2009-08-25,4
124,2009-08-26,3
125,2009-08-31,1
126,2009-09-01,1
127,2009-09-02,2
128,2009-09-03,1
129,2009-09-09,1
130,2009-09-10,2
131,2009-09-11,1
132,2009-09-12,2
133,2009-09-14,2
134,2009-09-15,2
135,2009-09-17,3
136,2009-09-18,1
137,2009-09-21,1
138,2009-09-22,3
139,2009-09-23,1
140,2009-09-24,2
141,2009-09-25,2
142,2009-09-26,2
143,2009-09-30,2
144,2009-10-01,1
145,2009-10-02,1
146,2009-10-06,1
147,2009-10-07,1
148,2009-10-09,1
149,2009-10-13,1
150,2009-10-14,1
151,2009-10-15,1
152,2009-10-16,2
153,2009-10-18,1
154,2009-10-19,1
155,2009-10-20,1
156,2009-10-21,2
157,2009-10-22,4
158,2009-10-24,1
159,2009-10-25,1
160,2009-10-30,2
161,2009-11-02,1
162,2009-11-03,1
163,2009-11-06,1
164,2009-11-07,1
165,2009-11-09,1
166,2009-11-10,1
167,2009-11-13,2
168,2009-11-18,1
169,2009-11-19,1
170,2009-11-21,2
171,2009-11-23,1
172,2009-11-30,1
173,2009-12-01,2
174,2009-12-02,3
175,2009-12-03,1
176,2009-12-08,1
177,2009-12-09,1
178,2009-12-10,1
179,2009-12-11,1
180,2009-12-14,2
181,2009-12-15,3
182,2009-12-17,1
183,2009-12-18,2
184,2009-12-19,1
185,2009-12-21,2
186,2009-12-22,2
187,2009-12-28,1
188,2009-12-29,1
189,2009-12-30,1
190,2009-12-31,1
191,2010-01-01,1
192,2010-01-04,1
193,2010-01-05,1
194,2010-01-09,1
195,2010-01-11,1
196,2010-01-12,3
197,2010-01-13,1
198,2010-01-14,4
199,2010-01-15,4
200,2010-01-16,2
201,2010-01-17,1
202,2010-01-19,3
203,2010-01-20,1
204,2010-01-21,2
205,2010-01-22,4
206,2010-01-23,1
207,2010-02-01,1
208,2010-02-02,1
209,2010-02-04,1
210,2010-02-09,1
211,2010-02-12,1
212,2010-02-13,1
213,2010-02-14,1
214,2010-02-19,1
215,2010-02-20,1
216,2010-02-22,1
217,2010-02-23,3
218,2010-02-24,2
219,2010-02-25,2
220,2010-02-28,1
221,2010-03-03,1
222,2010-03-04,2
223,2010-03-05,2
224,2010-03-09,1
225,2010-03-10,2
226,2010-03-12,2
227,2010-03-14,1
228,2010-03-17,3
229,2010-03-19,1
230,2010-03-21,1
231,2010-03-22,5
232,2010-03-23,2
233,2010-03-24,2
234,2010-03-25,1
235,2010-03-29,1
236,2010-03-31,2
237,2010-04-01,2
238,2010-04-05,1
239,2010-04-07,3
240,2010-04-09,1
241,2010-04-13,2
242,2010-04-14,4
243,2010-04-15,1
244,2010-04-16,4
245,2010-04-17,2
246,2010-04-20,2
247,2010-04-23,3
248,2010-04-26,2
249,2010-04-27,1
250,2010-04-28,2
251,2010-04-29,1
252,2010-05-04,2
253,2010-05-05,3
254,2010-05-06,1
255,2010-05-10,1
256,2010-05-11,1
257,2010-05-12,1
258,2010-05-13,1
259,2010-05-14,1
260,2010-05-15,1
261,2010-05-17,1
262,2010-05-18,3
263,2010-05-19,3
264,2010-05-20,4
265,2010-05-21,3
266,2010-05-22,1
267,2010-05-24,1
268,2010-05-26,4
269,2010-05-27,1
270,2010-05-28,2
271,2010-06-01,3
272,2010-06-02,4
273,2010-06-03,1
274,2010-06-04,3
275,2010-06-05,2
276,2010-06-07,2
277,2010-06-08,2
278,2010-06-10,1
279,2010-06-11,2
280,2010-06-14,3
281,2010-06-15,4
282,2010-06-16,3
283,2010-06-17,1
284,2010-06-19,1
285,2010-06-20,2
286,2010-06-21,2
287,2010-06-22,4
288,2010-06-23,3
289,2010-06-24,3
290,2010-06-27,1
291,2010-06-28,1
292,2010-06-29,1
293,2010-06-30,1
294,2010-07-06,1
295,2010-07-07,1
296,2010-07-08,1
297,2010-07-09,2
298,2010-07-12,1
299,2010-07-16,1
300,2010-07-17,1
301,2010-07-18,1
302,2010-07-19,2
303,2010-07-20,4
304,2010-07-21,1
305,2010-07-22,3
306,2010-07-24,2
307,2010-07-27,1
308,2010-07-30,2
309,2010-08-03,3
310,2010-08-05,1
311,2010-08-09,1
312,2010-08-11,3
313,2010-08-13,1
314,2010-08-14,1
315,2010-08-16,2
316,2010-08-17,3
317,2010-08-18,2
318,2010-08-20,1
319,2010-08-21,1
320,2010-08-25,1
321,2010-08-30,1
322,2010-08-31,2
323,2010-09-01,2
324,2010-09-03,1
325,2010-09-04,1
326,2010-09-07,1
