,Data,Key
0,2012-11-11,1
1,2012-12-11,1
2,2012-12-13,1
3,2012-12-24,1
4,2013-01-16,1
5,2013-01-17,1
6,2013-01-20,1
7,2013-01-26,1
8,2013-01-29,2
9,2013-02-01,1
10,2013-02-11,1
11,2013-02-12,1
12,2013-02-22,1
13,2013-05-01,1
14,2013-05-04,2
15,2013-05-25,1
16,2013-06-02,1
17,2013-06-25,1
18,2013-07-16,1
19,2013-07-22,1
20,2013-07-28,1
21,2013-08-05,2
22,2013-08-06,5
23,2013-08-07,1
24,2013-08-10,1
25,2013-08-14,1
26,2013-08-19,1
27,2013-09-09,1
28,2013-09-15,1
29,2013-10-04,1
30,2013-10-09,1
31,2013-10-10,1
32,2013-10-22,1
33,2013-10-25,1
34,2013-11-04,1
35,2013-11-05,1
36,2013-11-14,2
37,2013-11-25,1
38,2013-12-04,1
39,2013-12-07,3
40,2013-12-08,1
41,2013-12-19,1
42,2013-12-29,1
43,2014-01-05,1
44,2014-01-07,2
45,2014-01-22,1
46,2014-01-23,3
47,2014-01-26,2
48,2014-01-28,1
49,2014-02-08,2
50,2014-02-09,2
51,2014-02-11,1
52,2014-02-12,1
53,2014-02-16,1
54,2014-02-18,1
55,2014-02-20,1
56,2014-02-21,1
57,2014-02-22,3
58,2014-02-24,1
59,2014-02-26,2
60,2014-02-28,2
61,2014-03-01,1
62,2014-03-03,1
63,2014-03-04,1
64,2014-03-05,1
65,2014-03-06,1
66,2014-03-07,2
67,2014-03-08,2
68,2014-03-09,3
69,2014-03-10,1
70,2014-03-11,1
71,2014-03-12,2
72,2014-03-13,1
73,2014-03-16,1
74,2014-03-17,4
75,2014-03-18,2
76,2014-03-19,1
77,2014-03-21,2
78,2014-03-24,2
79,2014-03-25,1
80,2014-03-26,2
81,2014-03-27,3
82,2014-03-28,1
83,2014-03-30,2
84,2014-03-31,4
85,2014-04-01,1
86,2014-04-03,2
87,2014-04-04,4
88,2014-04-05,2
89,2014-04-06,1
90,2014-04-07,6
91,2014-04-08,5
92,2014-04-10,2
93,2014-04-11,1
94,2014-04-13,1
95,2014-04-14,1
96,2014-04-15,2
97,2014-04-16,3
98,2014-04-17,2
99,2014-04-18,1
100,2014-04-19,1
101,2014-04-21,2
102,2014-04-22,3
103,2014-04-23,6
104,2014-04-24,3
105,2014-04-25,9
106,2014-04-26,1
107,2014-04-27,4
108,2014-04-28,1
109,2014-04-29,5
110,2014-04-30,2
111,2014-05-01,1
112,2014-05-02,1
113,2014-05-03,1
114,2014-05-04,2
115,2014-05-05,6
116,2014-05-06,8
