,Data,Key
0,2012-10-28,1
1,2012-10-31,1
2,2012-11-06,1
3,2012-11-07,1
4,2012-11-10,1
5,2012-11-29,1
6,2012-12-04,2
7,2012-12-13,1
8,2012-12-24,1
9,2012-12-29,1
10,2013-01-13,1
11,2013-01-16,1
12,2013-01-24,1
13,2013-01-26,1
14,2013-01-27,1
15,2013-01-31,1
16,2013-02-11,3
17,2013-02-13,1
18,2013-02-22,1
19,2013-04-14,1
20,2013-04-24,1
21,2013-04-25,1
22,2013-04-29,1
23,2013-05-10,1
24,2013-05-31,1
25,2013-06-20,1
26,2013-06-23,1
27,2013-07-04,2
28,2013-07-06,1
29,2013-07-08,2
30,2013-07-13,1
31,2013-07-15,2
32,2013-07-22,1
33,2013-07-23,1
34,2013-07-28,1
35,2013-07-30,1
36,2013-07-31,1
37,2013-08-01,2
38,2013-08-02,1
39,2013-08-12,1
40,2013-08-13,1
41,2013-08-15,1
42,2013-08-27,1
43,2013-09-09,1
44,2013-09-11,1
45,2013-09-15,1
46,2013-10-02,1
47,2013-10-08,1
48,2013-10-20,1
49,2013-10-26,1
50,2013-11-17,1
51,2013-11-18,1
52,2013-11-24,1
53,2013-11-25,1
54,2013-11-27,1
55,2013-11-28,1
56,2013-12-03,1
57,2013-12-17,1
58,2013-12-25,1
59,2013-12-29,1
60,2014-01-02,2
61,2014-01-09,1
62,2014-01-11,1
63,2014-01-14,3
64,2014-01-15,3
65,2014-01-17,1
66,2014-01-19,2
67,2014-01-23,2
68,2014-01-24,1
69,2014-01-26,1
70,2014-01-30,1
71,2014-02-04,1
72,2014-02-05,1
73,2014-02-06,2
74,2014-02-07,1
75,2014-02-08,1
76,2014-02-09,1
77,2014-02-10,2
78,2014-02-13,1
79,2014-02-16,1
80,2014-02-18,3
81,2014-02-19,2
82,2014-02-20,2
83,2014-02-21,2
84,2014-02-23,1
85,2014-02-24,3
86,2014-02-25,4
87,2014-02-26,1
88,2014-02-27,2
89,2014-02-28,2
90,2014-03-01,1
91,2014-03-02,3
92,2014-03-04,2
93,2014-03-05,3
94,2014-03-06,3
95,2014-03-07,1
96,2014-03-09,1
97,2014-03-10,2
98,2014-03-12,3
99,2014-03-13,2
100,2014-03-14,2
101,2014-03-15,1
102,2014-03-17,1
103,2014-03-19,2
104,2014-03-20,1
105,2014-03-21,1
106,2014-03-24,2
107,2014-03-25,5
108,2014-03-26,2
109,2014-03-27,2
110,2014-03-28,4
111,2014-03-30,1
112,2014-03-31,7
113,2014-04-01,1
114,2014-04-02,4
115,2014-04-03,3
116,2014-04-04,4
117,2014-04-05,2
118,2014-04-06,1
119,2014-04-07,2
120,2014-04-08,3
121,2014-04-09,1
122,2014-04-10,5
123,2014-04-11,1
124,2014-04-13,1
125,2014-04-14,2
126,2014-04-15,1
127,2014-04-16,2
128,2014-04-17,3
129,2014-04-19,2
130,2014-04-21,2
131,2014-04-22,4
132,2014-04-23,8
133,2014-04-24,9
134,2014-04-25,5
135,2014-04-26,1
136,2014-04-27,2
137,2014-04-28,3
138,2014-04-29,1
139,2014-04-30,8
140,2014-05-01,5
141,2014-05-02,1
142,2014-05-03,2
143,2014-05-04,1
144,2014-05-05,7
145,2014-05-06,5
146,2014-05-07,1
147,2014-05-08,8
148,2014-05-09,4
149,2014-05-10,2
150,2014-05-11,1
151,2014-05-12,3
152,2014-05-13,3
153,2014-05-14,6
154,2014-05-15,4
155,2014-05-16,2
156,2014-05-17,1
157,2014-05-18,1
158,2014-05-19,5
159,2014-05-20,2
160,2014-05-21,2
161,2014-05-22,3
162,2014-05-23,6
163,2014-05-24,1
164,2014-05-25,1
165,2014-05-26,4
166,2014-05-27,6
167,2014-05-28,2
168,2014-05-29,4
169,2014-05-30,2
170,2014-05-31,2
171,2014-06-02,2
172,2014-06-03,4
173,2014-06-04,2
174,2014-06-05,6
175,2014-06-06,4
176,2014-06-07,2
177,2014-06-08,2
178,2014-06-09,2
179,2014-06-10,9
180,2014-06-11,6
181,2014-06-12,2
182,2014-06-13,4
183,2014-06-14,1
184,2014-06-15,1
185,2014-06-16,6
186,2014-06-17,5
187,2014-06-18,6
188,2014-06-19,11
189,2014-06-20,5
190,2014-06-22,1
191,2014-06-23,2
192,2014-06-24,8
193,2014-06-25,5
194,2014-06-26,2
195,2014-06-27,3
196,2014-06-28,3
197,2014-06-29,1
198,2014-06-30,5
199,2014-07-01,3
200,2014-07-02,3
201,2014-07-03,1
202,2014-07-04,2
203,2014-07-05,1
204,2014-07-06,2
205,2014-07-07,4
206,2014-07-08,5
207,2014-07-09,4
208,2014-07-10,2
209,2014-07-11,4
210,2014-07-12,2
211,2014-07-14,1
212,2014-07-15,8
213,2014-07-16,7
214,2014-07-17,4
215,2014-07-18,8
216,2014-07-19,3
217,2014-07-20,2
218,2014-07-21,2
219,2014-07-22,5
220,2014-07-23,8
221,2014-07-24,8
222,2014-07-25,5
223,2014-07-26,1
224,2014-07-27,1
225,2014-07-28,2
226,2014-07-29,5
227,2014-07-30,10
228,2014-07-31,3
229,2014-08-01,10
230,2014-08-02,1
231,2014-08-03,1
232,2014-08-04,5
233,2014-08-05,8
234,2014-08-06,9
235,2014-08-07,7
236,2014-08-08,7
237,2014-08-09,1
238,2014-08-10,4
239,2014-08-11,10
240,2014-08-12,2
241,2014-08-13,8
242,2014-08-14,9
243,2014-08-15,9
244,2014-08-16,1
245,2014-08-17,4
246,2014-08-18,1
247,2014-08-19,9
248,2014-08-20,4
249,2014-08-21,6
250,2014-08-23,2
251,2014-08-24,1
252,2014-08-25,3
253,2014-08-26,7
254,2014-08-27,9
255,2014-08-28,5
256,2014-08-29,8
257,2014-08-30,2
258,2014-08-31,4
259,2014-09-01,3
260,2014-09-02,5
261,2014-09-03,10
262,2014-09-04,8
263,2014-09-05,7
264,2014-09-06,1
265,2014-09-07,1
266,2014-09-08,2
267,2014-09-09,5
268,2014-09-10,1
269,2014-09-11,2
270,2014-09-12,4
271,2014-09-13,3
272,2014-09-15,5
273,2014-09-16,4
274,2014-09-17,10
275,2014-09-18,3
276,2014-09-19,8
277,2014-09-20,2
278,2014-09-21,2
279,2014-09-22,10
280,2014-09-23,4
281,2014-09-24,4
282,2014-09-25,4
283,2014-09-26,5
284,2014-09-27,7
285,2014-09-29,4
286,2014-09-30,7
287,2014-10-01,4
288,2014-10-02,3
289,2014-10-03,8
290,2014-10-04,3
291,2014-10-05,2
292,2014-10-06,9
293,2014-10-07,3
294,2014-10-08,6
295,2014-10-09,3
296,2014-10-10,4
297,2014-10-11,3
298,2014-10-12,3
299,2014-10-13,7
300,2014-10-14,6
301,2014-10-15,4
302,2014-10-16,7
303,2014-10-17,6
304,2014-10-18,1
305,2014-10-20,10
306,2014-10-21,8
307,2014-10-22,2
308,2014-10-23,7
309,2014-10-24,8
310,2014-10-25,2
311,2014-10-26,1
312,2014-10-27,1
313,2014-10-28,6
